window_id,datetime,season,carbon_uniform,carbon_spatial,carbon_temporal,carbon_full
0,2024-01-01 00:00:00+00:00,DJF,318.6583333333333,100.0,441.0,88.0
1,2024-01-02 00:00:00+00:00,DJF,328.2083333333333,89.0,447.0,89.0
2,2024-01-03 00:00:00+00:00,DJF,338.3583333333333,100.0,477.0,98.0
3,2024-01-04 00:00:00+00:00,DJF,354.225,98.0,493.0,98.0
4,2024-01-05 00:00:00+00:00,DJF,361.95,100.0,495.0,100.0
5,2024-01-06 00:00:00+00:00,DJF,365.975,147.0,495.0,129.0
6,2024-01-07 00:00:00+00:00,DJF,342.5583333333333,137.0,465.0,100.0
7,2024-01-08 00:00:00+00:00,DJF,356.23333333333335,143.0,470.0,100.0
8,2024-01-09 00:00:00+00:00,DJF,343.29999999999995,99.0,443.0,95.0
9,2024-01-10 00:00:00+00:00,DJF,348.1833333333333,100.0,434.0,88.0
10,2024-01-11 00:00:00+00:00,DJF,368.79999999999995,93.0,475.0,93.0
11,2024-01-12 00:00:00+00:00,DJF,384.15,129.0,481.0,100.0
12,2024-01-13 00:00:00+00:00,DJF,346.6,118.0,452.0,100.0
13,2024-01-14 00:00:00+00:00,DJF,351.1833333333334,134.0,501.0,134.0
14,2024-01-15 00:00:00+00:00,DJF,378.97499999999997,144.0,588.0,144.0
15,2024-01-16 00:00:00+00:00,DJF,397.6166666666667,177.0,570.0,172.0
16,2024-01-17 00:00:00+00:00,DJF,381.89166666666665,200.0,565.0,145.0
17,2024-01-18 00:00:00+00:00,DJF,385.85833333333335,146.0,590.0,136.0
18,2024-01-19 00:00:00+00:00,DJF,380.95,159.0,550.0,150.0
19,2024-01-20 00:00:00+00:00,DJF,365.125,163.0,560.0,130.0
20,2024-01-21 00:00:00+00:00,DJF,333.9083333333333,123.0,515.0,95.0
21,2024-01-22 00:00:00+00:00,DJF,327.0916666666667,95.0,526.0,85.0
22,2024-01-23 00:00:00+00:00,DJF,332.5,86.0,525.0,85.0
23,2024-01-24 00:00:00+00:00,DJF,337.76666666666665,100.0,478.0,100.0
24,2024-01-25 00:00:00+00:00,DJF,355.4833333333333,125.0,463.0,100.0
25,2024-01-26 00:00:00+00:00,DJF,327.7416666666666,123.0,429.0,92.0
26,2024-01-27 00:00:00+00:00,DJF,330.0916666666667,94.0,441.0,79.0
27,2024-01-28 00:00:00+00:00,DJF,308.29166666666663,82.0,404.0,75.0
28,2024-01-29 00:00:00+00:00,DJF,323.4083333333333,83.0,447.0,74.0
29,2024-01-30 00:00:00+00:00,DJF,329.98333333333335,76.0,452.0,74.0
