window,l1_diff,frac_identical_cells
191,2.0,0.9833333333333333
14,2.0,0.9833333333333333
242,0.0,1.0
515,2.0,0.9833333333333333
59,0.0,1.0
368,2.0,0.9833333333333333
22,0.0,1.0
504,0.0,1.0
521,2.0,0.9833333333333333
322,2.0,0.9833333333333333
282,0.0,1.0
627,0.0,1.0
586,0.0,1.0
403,0.0,1.0
19,0.0,1.0
404,0.0,1.0
439,2.0,0.9833333333333333
518,0.0,1.0
352,0.0,1.0
83,2.0,0.9833333333333333
361,2.0,0.9833333333333333
673,2.0,0.9833333333333333
377,0.0,1.0
478,2.0,0.9833333333333333
407,0.0,1.0
552,2.0,0.9833333333333333
181,2.0,0.9833333333333333
174,0.0,1.0
263,2.0,0.9833333333333333
112,2.0,0.9833333333333333
643,2.0,0.9833333333333333
419,2.0,0.9833333333333333
261,0.0,1.0
164,2.0,0.9833333333333333
53,0.0,1.0
655,0.0,1.0
297,0.0,1.0
426,0.0,1.0
591,2.0,0.9833333333333333
574,0.0,1.0
363,0.0,1.0
537,2.0,0.9833333333333333
730,2.0,0.9833333333333333
364,0.0,1.0
472,2.0,0.9833333333333333
409,2.0,0.9833333333333333
482,2.0,0.9833333333333333
254,0.0,1.0
180,0.0,1.0
324,0.0,1.0
683,2.0,0.9833333333333333
416,0.0,1.0
94,2.0,0.9833333333333333
563,0.0,1.0
258,0.0,1.0
438,0.0,1.0
315,2.0,0.9833333333333333
5,0.0,1.0
200,2.0,0.9833333333333333
236,2.0,0.9833333333333333
507,0.0,1.0
362,0.0,1.0
35,0.0,1.0
171,0.0,1.0
722,2.0,0.9833333333333333
681,0.0,1.0
547,0.0,1.0
581,0.0,1.0
342,2.0,0.9833333333333333
694,0.0,1.0
532,2.0,0.9833333333333333
609,0.0,1.0
3,0.0,1.0
356,0.0,1.0
48,0.0,1.0
218,2.0,0.9833333333333333
471,0.0,1.0
275,2.0,0.9833333333333333
61,2.0,0.9833333333333333
454,2.0,0.9833333333333333
195,0.0,1.0
488,0.0,1.0
608,0.0,1.0
449,0.0,1.0
698,2.0,0.9833333333333333
453,2.0,0.9833333333333333
283,0.0,1.0
628,2.0,0.9833333333333333
391,2.0,0.9833333333333333
262,0.0,1.0
560,0.0,1.0
477,0.0,1.0
26,2.0,0.9833333333333333
10,0.0,1.0
230,2.0,0.9833333333333333
51,0.0,1.0
1,0.0,1.0
116,2.0,0.9833333333333333
662,0.0,1.0
270,0.0,1.0
